,hh_id,maz,walk_subzone,income,autos,jtf_choice,size,workers,auto_suff
18626,1038900,3285,0,22150,1,-2,1,1,cars>=wkrs
18627,2848992,3285,0,64000,2,1,4,2,cars>=wkrs
18628,3905067,3285,0,392330,4,1,4,4,cars>=wkrs
18629,681768,3285,0,23000,3,-2,1,1,cars>=wkrs
18630,1706431,3286,0,12000,2,-3,2,1,cars>=wkrs
18631,2009576,3286,0,36900,2,-3,4,1,cars>=wkrs
18632,2113784,3286,0,37600,4,1,2,2,cars>=wkrs
18633,1314652,3287,0,28900,1,1,2,0,cars>=wkrs
18634,1798207,3287,0,43800,2,1,2,1,cars>=wkrs
18635,1632902,3288,0,30250,1,1,2,1,cars>=wkrs
18636,2026941,3288,0,34000,2,1,4,1,cars>=wkrs
18637,2224623,3288,0,127500,2,1,2,2,cars>=wkrs
18638,1880016,3288,0,33400,4,1,3,1,cars>=wkrs
18639,466195,3288,0,18700,1,-2,1,1,cars>=wkrs
18640,1038926,3288,0,17100,3,-2,1,1,cars>=wkrs
18641,1068696,3289,0,26000,1,-2,1,1,cars>=wkrs
18642,3415030,3289,0,105500,2,1,3,3,cars<wkrs
18643,1328601,3289,0,16800,2,1,2,0,cars>=wkrs
18644,2009578,3289,0,34400,0,1,4,1,nocars
18645,3905100,3289,0,152500,4,1,6,4,cars>=wkrs
18646,2192100,3289,0,24870,2,1,2,2,cars>=wkrs
18647,681813,3289,0,11900,1,-2,1,1,cars>=wkrs
18648,1503566,3289,0,1700,1,1,3,0,cars>=wkrs
18649,466211,3293,0,20500,2,-2,1,1,cars>=wkrs
18650,2627749,3293,0,60000,2,1,3,2,cars>=wkrs
18651,1617826,3293,0,7000,0,1,2,1,nocars
18653,2253391,3293,0,42000,1,1,2,2,cars<wkrs
18654,2635560,3293,0,13000,2,1,3,2,cars>=wkrs
18655,2229007,3294,0,18100,1,1,2,2,cars<wkrs
18656,249349,3294,0,22800,1,1,6,0,cars>=wkrs
18657,3097619,3294,0,21100,4,1,4,0,cars>=wkrs
18658,3667932,3294,0,20560,2,1,4,0,cars>=wkrs
18659,3667933,3294,0,20560,2,1,4,0,cars>=wkrs
18660,3099749,3294,0,34000,0,1,4,0,nocars
18662,2635576,3295,0,13000,1,1,3,2,cars<wkrs
18663,3097630,3296,0,21100,0,1,4,0,nocars
18664,3819168,3296,0,55000,2,1,4,2,cars>=wkrs
18665,3769580,3296,0,121000,3,1,7,0,cars>=wkrs
18668,1949542,3299,0,36000,4,1,3,1,cars>=wkrs
18669,249382,3300,0,22800,3,1,6,0,cars>=wkrs
18670,927297,3301,0,53100,1,-2,1,1,cars>=wkrs
18671,815604,3303,0,30000,3,-2,1,1,cars>=wkrs
18672,1594333,3303,0,19800,1,-3,2,1,cars>=wkrs
18673,1525079,3303,0,17000,1,1,3,0,cars>=wkrs
18674,2192179,3303,0,37300,2,1,2,2,cars>=wkrs
18675,2584453,3303,0,13000,2,1,3,2,cars>=wkrs
18676,608471,3303,0,46400,2,-2,1,1,cars>=wkrs
18677,2965606,3303,0,46800,1,1,3,0,cars>=wkrs
18678,2308751,3303,0,101000,1,1,2,2,cars<wkrs
18679,1719376,3303,0,38500,3,1,2,1,cars>=wkrs
18680,2192175,3303,0,30000,2,1,2,2,cars>=wkrs
18681,1205549,3307,0,63000,1,-2,1,1,cars>=wkrs
18682,3187765,3307,0,56300,1,1,3,1,cars>=wkrs
18683,2627755,3307,0,52000,2,1,3,2,cars>=wkrs
18684,1201524,3309,0,45000,1,-2,1,1,cars>=wkrs
18685,1525080,3309,0,7000,1,1,3,0,cars>=wkrs
18686,3108585,3309,0,52900,2,1,4,0,cars>=wkrs
18687,2353583,3310,0,32100,1,1,2,2,cars<wkrs
18689,2013603,3310,0,13100,1,1,4,1,cars>=wkrs
18691,815688,3310,0,44500,1,-2,1,1,cars>=wkrs
18692,2353600,3310,0,40440,2,1,2,2,cars>=wkrs
18693,2680507,3310,0,90000,2,1,3,2,cars>=wkrs
18694,3749811,3315,0,136100,3,1,4,0,cars>=wkrs
18696,3609786,3315,0,23200,3,1,5,3,cars>=wkrs
18697,1929593,3315,0,53050,1,1,3,1,cars>=wkrs
18698,1569091,3315,0,0,1,1,7,0,cars>=wkrs
